date,1. open,2. high,3. low,4. close,5. volume
2024-09-24 15:04:00,570.48,570.6,570.47,570.57,234224.0
2024-09-24 15:03:00,570.52,570.52,570.37,570.48,59224.0
2024-09-24 15:02:00,570.42,570.54,570.42,570.5199,32912.0
2024-09-24 15:01:00,570.47,570.48,570.39,570.41,527529.0
2024-09-24 15:00:00,570.43,570.52,570.36,570.47,39267.0
2024-09-24 14:59:00,570.43,570.48,570.27,570.45,42786.0
2024-09-24 14:58:00,570.57,570.57,570.43,570.4301,24706.0
2024-09-24 14:57:00,570.6,570.61,570.5,570.58,23351.0
2024-09-24 14:56:00,570.45,570.63,570.41,570.61,22742.0
2024-09-24 14:55:00,570.5706,570.61,570.45,570.46,43276.0
2024-09-24 14:54:00,570.53,570.58,570.5,570.57,40446.0
2024-09-24 14:53:00,570.47,570.54,570.44,570.54,80078.0
2024-09-24 14:52:00,570.47,570.56,570.465,570.4795,36076.0
2024-09-24 14:51:00,570.46,570.54,570.45,570.48,39054.0
2024-09-24 14:50:00,570.28,570.46,570.2,570.46,37167.0
2024-09-24 14:49:00,570.3726,570.38,570.27,570.29,17368.0
2024-09-24 14:48:00,570.47,570.47,570.36,570.3795,17041.0
2024-09-24 14:47:00,570.3303,570.48,570.3,570.47,25929.0
2024-09-24 14:46:00,570.47,570.47,570.31,570.34,26667.0
2024-09-24 14:45:00,570.53,570.53,570.45,570.49,28444.0
2024-09-24 14:44:00,570.41,570.53,570.4,570.52,29019.0
2024-09-24 14:43:00,570.41,570.43,570.37,570.38,22550.0
2024-09-24 14:42:00,570.46,570.49,570.33,570.39,52023.0
2024-09-24 14:41:00,570.42,570.52,570.41,570.4501,34497.0
2024-09-24 14:40:00,570.56,570.6292,570.42,570.43,100801.0
2024-09-24 14:39:00,570.36,570.56,570.325,570.555,36259.0
2024-09-24 14:38:00,570.23,570.39,570.23,570.36,32176.0
2024-09-24 14:37:00,570.37,570.3798,570.17,570.23,24176.0
2024-09-24 14:36:00,570.3,570.39,570.23,570.36,76695.0
2024-09-24 14:35:00,570.17,570.33,570.16,570.3099,34663.0
2024-09-24 14:34:00,570.11,570.24,570.1,570.16,32341.0
2024-09-24 14:33:00,569.9,570.1401,569.8,570.1199,47809.0
2024-09-24 14:32:00,570.02,570.025,569.86,569.9099,34334.0
2024-09-24 14:31:00,569.89,570.0664,569.82,570.04,92044.0
2024-09-24 14:30:00,570.25,570.25,569.43,569.88,190382.0
2024-09-24 14:29:00,570.21,570.2973,570.07,570.2325,47934.0
2024-09-24 14:28:00,570.34,570.41,570.19,570.21,46307.0
2024-09-24 14:27:00,570.39,570.39,570.305,570.35,19022.0
2024-09-24 14:26:00,570.33,570.37,570.27,570.36,39928.0
2024-09-24 14:25:00,570.375,570.4299,570.3,570.32,35412.0
2024-09-24 14:24:00,570.4088,570.41,570.34,570.37,20777.0
2024-09-24 14:23:00,570.38,570.44,570.33,570.41,39320.0
2024-09-24 14:22:00,570.34,570.52,570.34,570.4308,49525.0
2024-09-24 14:21:00,570.4,570.45,570.28,570.34,45540.0
2024-09-24 14:20:00,570.45,570.47,570.39,570.395,35758.0
2024-09-24 14:19:00,570.365,570.5068,570.365,570.46,45697.0
2024-09-24 14:18:00,570.21,570.36,570.181,570.36,37328.0
2024-09-24 14:17:00,570.29,570.29,570.17,570.2,28126.0
2024-09-24 14:16:00,570.24,570.34,570.2101,570.28,27427.0
2024-09-24 14:15:00,570.39,570.43,570.235,570.245,34065.0
2024-09-24 14:14:00,570.3599,570.45,570.34,570.3999,63712.0
2024-09-24 14:13:00,570.4,570.4699,570.14,570.3282,86750.0
2024-09-24 14:12:00,570.4801,570.49,570.4,570.4177,45135.0
2024-09-24 14:11:00,570.4999,570.51,570.38,570.5,31842.0
2024-09-24 14:10:00,570.51,570.54,570.43,570.4999,35112.0
2024-09-24 14:09:00,570.53,570.61,570.51,570.5425,16675.0
2024-09-24 14:08:00,570.59,570.5999,570.51,570.51,20717.0
2024-09-24 14:07:00,570.54,570.6991,570.525,570.61,17926.0
2024-09-24 14:06:00,570.57,570.6467,570.48,570.55,19107.0
2024-09-24 14:05:00,570.525,570.5699,570.48,570.5699,56833.0
2024-09-24 14:04:00,570.57,570.67,570.46,570.525,120525.0
2024-09-24 14:03:00,570.64,570.685,570.54,570.56,115879.0
2024-09-24 14:02:00,570.5599,570.6601,570.505,570.6601,18993.0
2024-09-24 14:01:00,570.38,570.55,570.36,570.505,34878.0
2024-09-24 14:00:00,570.5,570.51,570.35,570.39,99354.0
2024-09-24 13:59:00,570.52,570.5482,570.445,570.465,23157.0
2024-09-24 13:58:00,570.52,570.5699,570.51,570.54,13306.0
2024-09-24 13:57:00,570.62,570.62,570.48,570.52,29174.0
2024-09-24 13:56:00,570.61,570.63,570.54,570.63,13807.0
2024-09-24 13:55:00,570.6801,570.6801,570.48,570.5792,39283.0
2024-09-24 13:54:00,570.65,570.73,570.64,570.7084,24676.0
2024-09-24 13:53:00,570.62,570.64,570.43,570.63,20444.0
2024-09-24 13:52:00,570.615,570.66,570.6,570.63,11483.0
2024-09-24 13:51:00,570.48,570.66,570.48,570.62,60283.0
2024-09-24 13:50:00,570.515,570.575,570.45,570.4755,38484.0
2024-09-24 13:49:00,570.66,570.66,570.51,570.6,24622.0
2024-09-24 13:48:00,570.7,570.72,570.665,570.68,18449.0
2024-09-24 13:47:00,570.6167,570.7282,570.6,570.71,33712.0
2024-09-24 13:46:00,570.72,570.74,570.6,570.62,38963.0
2024-09-24 13:45:00,570.82,570.82,570.71,570.7131,28898.0
2024-09-24 13:44:00,570.84,570.8899,570.81,570.82,24734.0
2024-09-24 13:43:00,570.8,570.93,570.78,570.8301,25327.0
2024-09-24 13:42:00,570.645,570.8211,570.63,570.815,32299.0
2024-09-24 13:41:00,570.69,570.7,570.55,570.65,39602.0
2024-09-24 13:40:00,570.72,570.76,570.65,570.6814,39032.0
2024-09-24 13:39:00,570.61,570.74,570.57,570.74,51503.0
2024-09-24 13:38:00,570.69,570.69,570.57,570.615,38559.0
2024-09-24 13:37:00,570.7399,570.7399,570.64,570.695,23068.0
2024-09-24 13:36:00,570.905,570.905,570.74,570.74,38230.0
2024-09-24 13:35:00,570.9,571.01,570.88,570.9,70776.0
2024-09-24 13:34:00,570.785,570.896,570.785,570.896,15846.0
2024-09-24 13:33:00,570.78,570.85,570.77,570.79,20984.0
2024-09-24 13:32:00,570.705,570.77,570.695,570.76,15261.0
